24.08, 27.78
22.43, 25.52
25.68, 23.16
22.14, 22.92
25.56, 24.39
19.76, 25.29
24.64, 23.65
19.14, 22.7
23.23, 26.81
19.08, 23.96
25.28, 20.93
21.66, 20.29
27.15, 24.59
18.78, 23.37
25.48, 25.84
19.3, 24.29
23.96, 24.42
21.41, 25.64
23.79, 22.84
20.87, 24.13
24.45, 24.64
21.81, 25.3
25.84, 27.22
20.07, 24.77
26.23, 22.89
21.15, 23.57
24.77, 22.74
20.89, 25.36
26.05, 24.11
23.09, 21.01
27.33, 24.9
20.47, 24.7
25.12, 26.41
19.97, 23.95
25.57, 23.79
21.19, 24.84
27.33, 25.66
20.91, 23.09
22.69, 21.16
19.54, 25.46
24.61, 21.35
20.77, 24.23
26.92, 25.07
21.01, 24.21
25.27, 25.82
22.65, 23.59
26.1, 23.38
19.48, 23.61
23.59, 22.72
19.51, 25.83
